,M-1,M-2,M-3,M-4,M-5,M-6,M-7,M-8,M-9,M-10,M-11,M-12,M-13,M-14,M-15,M-16,M-17,M-18,M-19,M-20
MolLogP,1.3848,1.0904,1.3934,1.69322,1.2564799999999998,2.403600000000001,1.5239,2.0382,1.5239,2.0382,2.691600000000001,2.6916,2.6916,1.663,1.8021000000000005,2.6916,1.663,1.2011999999999998,1.8021000000000005,2.0803000000000003
Kappa3,1.2877050319358112,1.2539046385226678,1.7031790754529077,1.34501586290279,1.553738016754164,2.206729259196792,1.3128403334329577,1.4815230258237757,1.3128403334329577,1.4815230258237757,1.6427212711091828,1.8508594896584185,1.6427212711091828,1.3392224422924217,1.3892970521541952,2.1012149482208264,1.732697417366352,2.2406788898967376,1.3892970521541952,1.3001179367525535
Number of Atoms,15.0,16.0,19.0,18.0,16.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,19.0,15.0,15.0
Number of Rotatable Bonds,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Number of C,7.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Number of O,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0
Number of N,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Number of Hydrogen Bond Donors,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SolFE dmf 0 eV,-8.003457540064119,-10.839218404260464,-9.061251195438672,-8.252044900611509,-9.87632782914443,-7.214286953501869,-7.352996378904208,-8.428481371956877,-7.441545311477967,-8.473405936732888,-9.143490533344448,-8.945568182272837,-10.597075552796014,-8.141356224892661,-7.104307362111285,-8.545268172165379,-6.584077990904916,-11.197903327760288,-5.761880394478794,-5.268373458762653
pKa(DMF),12.28,12.848527355994786,13.214022319919534,12.810346992581694,10.64723755778644,10.789895286038828,11.793561210203643,11.771152752946543,11.15457258599556,11.228818413866026,9.542570935540168,9.75921452395541,8.050923784467091,6.8697764044750285,6.293685021280456,10.174340801868135,9.885640601668891,7.9427193120719,9.467175766040324,4.025480289126747
S(Trans),40.312,40.679,40.967,40.636,40.867,41.632,40.722,41.043,40.722,41.043,41.631,41.631,41.631,41.082,41.403,41.631,41.082,41.958,41.403,41.958
H(0),-263656.5676360412,-310816.64185375994,-335419.177784544,-288273.7512194465,-321465.2131560803,-474970.4259337662,-325884.4409812009,-551785.4262535542,-325884.1335716554,-551785.1875438367,-839906.6920823834,-839907.9066838585,-839908.3489804725,-388105.002527752,-450330.7950096301,-839912.6444314221,-388110.40621211374,-520043.3485605993,-450329.8284608374,-574765.5812549877
Dipole Moment,2.3687,1.9507,2.7043,2.8736,3.6331,2.1592,1.5179,1.5216,3.1991,0.7062,1.6914,1.9744,3.0557,3.4134,1.9594,1.5509,1.5532,3.9565,2.5209,1.6661
